Country,ISO,year,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
Algeria,DZA,2018,4,42228.415,76.7,5.043086052,2.274678361,48.18461881,1.57,11642.19449
Portugal,PRT,2018,3,10256.192,81.9,5.919822693,4.566558766,46.12374519,1.57,34149.39832
Romania,ROU,2018,7,19506.11,75.9,6.150878906,3.641012763,47.63387338,1.57,28616.6
Croatia,HRV,2018,7,4156.407,78.3,5.536271095,3.656390574,45.52398626,1.57,27888.57363
Liberia,LBR,2018,5,4818.976,63.7,4.134852886,1.087836224,39.08039625,1.57,1497.004477
Chile,CHL,2018,1,18729.166,80,6.436220646,4.373670792,48.71915892,1.57,25165.17818
Singapore,SGP,2018,8,5757.503,83.5,6.374564171,5.712974499,45.09627695,1.57,97744.95461
Hungary,HUN,2018,7,9707.502,76.7,5.935770988,3.853759318,45.94365008,1.57,31196.50498
Denmark,DNK,2018,3,5752.131,80.8,7.648785591,7.023360955,45.19615624,1.57,56461.00792
Iraq,IRQ,2018,4,38433.604,70.5,4.8864007,1.769129175,45.42260571,1.57,10660.09256
Kenya,KEN,2018,5,51392.57,66.3,4.655702591,0.99217778,45.1485644,1.57,4203.802282
Pakistan,PAK,2018,6,212228.288,67.1,5.471553802,0.873021631,52.39046558,1.57,4739.768808
Poland,POL,2018,7,37921.585,78.5,6.111485004,4.760620326,44.27596619,1.57,31775.26164
Bolivia,BOL,2018,1,11353.14,71.2,5.915734291,3.023832411,45.86141216,1.57,8655.52996
Uganda,UGA,2018,5,42729.032,63,4.321714878,1.013246863,40.1912495,1.57,2122.260513
Yemen,YEM,2018,4,28498.683,66.1,3.057513952,0.560899554,35.98012352,1.57,..
Georgia,GEO,2018,7,4002.946,73.6,4.659097195,2.288986887,43.36861131,1.57,14257.08166
Mozambique,MOZ,2018,5,29496.009,60.2,4.653713703,0.762535411,41.5696699,1.57,1289.738003
Madagascar,MDG,2018,5,26262.313,66.7,4.070586681,0.900804485,41.88067184,1.57,1613.104514
Tunisia,TUN,2018,4,11565.203,76.5,4.741132259,2.139239539,46.7022545,1.57,10763.78558
North Macedonia,MKD,2018,7,2082.957,75.7,5.239834785,2.949917399,45.27590392,1.57,16147.72998
Jordan,JOR,2018,4,9965.322,74.4,4.638933659,1.959970559,45.50249618,1.57,10022.76232
Iran,IRN,2018,4,81800.204,76.5,4.278117657,3.178226508,38.75467309,1.57,13471.84897
Malta,MLT,2018,3,439.255,82.4,6.909710884,6.032441296,46.05316234,1.57,43207.26772
Egypt,EGY,2018,4,98423.602,71.8,4.005450726,1.731398804,40.55629471,1.57,11366.33633
Taiwan,TWN,2018,8,23726.46,80.2928,6.467004776,5.922920989,42.91580362,1.57,#N/A
Australia,AUS,2018,2,24898.153,83.3,7.17699337,7.386751688,43.27778032,1.57,49304.25111
Belarus,BLR,2018,7,9452.615,74.6,5.233769894,4.165250433,39.36753199,1.57,18885.2355
Laos,LAO,2018,8,7061.498,67.6,4.85940218,2.282094073,40.54458321,1.57,7592.819798
Libya,LBY,2018,4,6678.565,72.7,5.493977547,3.349107295,42.94110805,1.57,15017.98908
Belgium,BEL,2018,3,11482.18,81.5,6.89217186,6.648064355,43.2661911,1.57,51279.65454
Comoros,COM,2018,5,832.322,64.1,3.972819567,1.134259997,38.058437,1.57,3066.837847
China,CHN,2018,8,1427647.789,76.7,5.131433964,3.731989287,41.76439175,1.57,15242.98586
Malaysia,MYS,2018,8,31528.033,76,5.338817596,3.976755248,41.53632467,1.57,27557.65446
Ethiopia,ETH,2018,5,109224.41,66.2,4.379262447,0.978679285,43.22297012,1.57,2103.512989
Saudi Arabia,SAU,2018,4,33702.757,75,6.356393337,5.650836616,40.14794386,1.57,47596.73557
Burkina Faso,BFA,2018,5,19751.466,61.2,4.92723608,1.091197608,42.26598534,1.57,2120.322861
Benin,BEN,2018,5,11485.035,61.5,5.81982708,1.405258268,46.26491601,1.57,3160.777093
Niger,NER,2018,5,22442.831,62,5.164007187,1.542992738,41.90897353,1.57,1200.966203
Montenegro,MNE,2018,7,627.803,76.8,5.650189877,4.104997878,43.28636699,1.57,20752.62045
Turkey,TUR,2018,4,82340.09,77.4,5.185689449,3.561371915,43.24802024,1.57,28410.11313
Ukraine,UKR,2018,7,44246.158,72,4.661909103,2.670289599,40.52097817,1.57,12338.0028
Congo (Kinshasa),COD,2018,5,84068.092,60.4,,0.742806693,,1.57,1085.893701
Canada,CAN,2018,2,37074.558,82.3,7.175496578,8.135169134,40.50111265,1.57,48770.33586
Bulgaria,BGR,2018,7,7051.61,74.9,5.098813534,3.703585066,40.57941736,1.57,22279.36194
Myanmar,MMR,2018,8,53708.318,66.9,4.410633087,1.746158362,39.83167699,1.57,5029.180876
